"mp_identifier";"mention_id";"relation";"description";"pos";"term_id";"dep_rel";"constituent_head";"docid";"gender_pron";"gender_api";"alias";"fullname";"ne_identifier"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_100";"label";"ze";"pron";"t_100";"head";"t_100";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"aan";"prep";"t_105";"hd/mod";"t_105";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"de";"det";"t_106";"constituent";"t_105";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"dochter";"noun";"t_88";"constituent";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"en";"vg";"t_87";"constituent";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"familie_bedrijf";"noun";"t_84";"constituent";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"het";"det";"t_83";"constituent";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"in";"prep";"t_82";"hd/mod";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"nieuw";"adj";"t_101";"constituent";"t_102";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"omroep";"noun";"t_107";"constituent";"t_105";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"project";"noun";"t_102";"hd/obj1";"t_102";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"slijten";"verb";"t_104";"head";"t_104";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"vader";"noun";"t_86";"constituent";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_104";"agent";"van";"prep";"t_85";"constituent";"t_82";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"aan";"prep";"t_105";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"de";"det";"t_106";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"dochter";"noun";"t_88";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"en";"vg";"t_87";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"familie_bedrijf";"noun";"t_84";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"het";"det";"t_83";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"in";"prep";"t_82";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"nieuw";"adj";"t_101";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"omroep";"noun";"t_107";"constituent";"t_103";"a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_100";"t_99";"agent";"proberen";"verb";"t_99";"head";"t_99";"a1111111";"female";NA;NA;NA;NA
